Class,Policy
Mitigation,"Working with industry partners, construct a “PV to EV” pilot project to install a PV charging station at a city facility (such as the Faraday Center), to charge city ZEVs. The purpose of the pilot project would be to evaluate the feasibility of incorporating more ZEV into the city’s fleet. (Short-term)"
Mitigation,"Prepare a community-wide charging station siting plan, which evaluates site visibility and exposure, EV driving ranges, high volume destinations, locations with high ownership or interest in EVs, and cost of construction. (Short-term)"
Mitigation,"Construct ZEV charging stations based on the community-wide charging station siting plan described in L-2 above. The ZEV charging stations will be funded by grant funds when available, and the city will post signage directing ZEVs to charging stations. (Mid-term)"
Mitigation,"Offer dedicated ZEV parking, and provide charging stations adjacent to ZEV parking as identified in the community-wide charging station siting plan. (Mid-term)"
Mitigation,Adopt requirements for ZEV parking for new developments. (Short-term)
Mitigation,"Implement and enforce Title 18, Chapter 18.21, Sections 18.21.140 and 18.21.150, mandating electric vehicle charging infrastructure in new residential and non-residential building and existing residential and non-residential buildings undergoing major renovations. (Ongoing)"
Mitigation,Update the city’s Fleet Management Program to include a low and zero-emissions vehicle replacement/purchasing policy. Increase the proportion of fleet low and zero–emissions vehicle miles traveled to 25 percent of all city-related VMT by 2035. (Short-term)
Mitigation,Conduct a feasibility study to evaluate citywide renewable energy projects and prioritize accordingly. (Short-term)
Mitigation,"Incorporate renewable energy measures such as PV system installation on city buildings and parking lots, or microturbine installation on city facilities, with the goal of producing approximately 12,000 megawatt-hours per year. (Mid to Long-term)"
Mitigation,"Pursue available funding sources for the construction of renewable energy projects by the city, such as Energy Efficiency Financing for Public Sector Projects and SGIP. (Mid to Long-term)"
Mitigation,"Improve water utilities (including water supply, wastewater, and recycled water) conveyance, treatment and distribution, and other system improvements. (Mid to Long-term)"
Mitigation,"Host workshops on greywater and rainwater collection systems through the Carlsbad Municipal Water District, or partner with existing workshop providers, for homeowners interested in installing systems suitable for their property. (Mid-term)"
Mitigation,"Create a design reference manual, or provide links to an existing one, for the design of greywater and rainwater collection systems. (Mid-term)"
Mitigation,Evaluate the feasibility of offering a rebate for residential greywater systems that require a permit to cover the cost of obtaining a permit. (Mid-term)
Mitigation,Continue participation in the Clean Energy Alliance Community Choice Energy program (Ongoing).
Mitigation,Explore the purchase of renewable energy credits if Community Choice Energy program is not reaching 2035 goal
Mitigation,"Offer free water evaluations and technical assistance through NatureScape & Home Upgrade, Carbon Downgrade programs"
Mitigation,Prohibit all landscape irrigation runoff including incidental discharges
Mitigation,Promote a hotline to identify water wasters and to target outreach
Mitigation,Develop escalating enforcement policy (up to possible fine) for homes that repeatedly waste water through irrigation run off
Mitigation,Create outdoor signage at City facilities to showcase efficient landscape designs
Mitigation,Work with water districts to create mobile display(s) showcasing water conservation and re‐use options
Mitigation,Update ordinances to establish best practices and water “budgets” for landscape designs
Mitigation,Update Landscape Water Conservation Ordinance to increase efficiency (by at least 20%)
Mitigation,Revise Water Conservation Plan Guidelines and Landscape Manual to match new landscape requirements
Mitigation,Require free water evaluations for businesses as part of licensing process
Mitigation,"Include free retrofit evaluations in Home Upgrade, Carbon Downgrade program"
Mitigation,In consultation with community stakeholders (such as Realtors) offer additional Property Assessed Clean Energy (PACE) programs to help finance water retrofits in community
Mitigation,Evaluate implementation of 3.3.3D to evaluate possibilities of adding water conservation measures or information
Mitigation,Complete a Water Reuse Framework to identify opportunities and barriers
Mitigation,"Develop permitting guidance, in partnership with local water districts, for simple water reuse technologies"
Mitigation,Develop promotional guidance that minimizes cross contamination risk for indoor recycled water use in commercial buildings
Mitigation,Develop a graywater educational guide to help ensure proper installation and use
Mitigation,Require single‐family homes/duplexes to include simple graywater pre‐plumbing
Mitigation,Host workshops and promote incentives for simple graywater systems
Mitigation,Work with local water districts in developing guidance and a streamlined permit for complex systems
Mitigation,Host at least two workshops for contractors and developers
Mitigation,Initiate planning for organics management to divert from landfill
Mitigation,Develop a Zero Waste Policy for City Council consideration
Mitigation,Create Zero Waste guidelines for events
Mitigation,Create Zero Waste business certifications
Mitigation,Create Zero Waste guidelines for building deconstruction
Mitigation,"Draft ""Management of Organics"" policy for City Council consideration that would support the use of local compost on City and private properties."
Mitigation,"Offer free evaluations through Free Resource & Energy Business Energy Evaluations (FREBE) & Home Upgrade, Carbon Downgrade programs"
Mitigation,Engage “green” business leaders through CLEAN Business program
Mitigation,"Initiate community‐wide social marketing campaigns to target key segments, such as DIY, disadvantaged residents and high energy users"
Mitigation,Launch a “Build Green” awareness and assistance program for builders and permit applicants
Mitigation,Promote the use of Green Leases to commercial property owners and tenants
Mitigation,Create local incentives or policies for building benchmarking and public disclosure
Mitigation,Initiate monthly energy code trainings for building permit and inspection staff
Mitigation,Conduct secondary reviews of inspections to help identify common energy code errors
Mitigation,Integrate energy and sustainability info into permit counter and/or inspection outreach materials
Mitigation,Determine if bulk or annual permit program will encourage more permitted jobs
Mitigation,"Create “Build Green Chula Vista” network to support contractors, inspectors, appraisers and others who work with homes."
Mitigation,Work with state/regional partners on consumer education of the value of permits and complaints related to energy code
Mitigation,"Adopt pre‐wiring and pre‐plumbing standards for solar photovoltaic and solar hot water, respectively"
Mitigation,Develop a solar photovoltaic requirement for new homes and businesses for City Council consideration
Mitigation,Conduct a CCA Feasibility Study to identify costs and benefits for City Council consideration
Mitigation,Evaluate potential to partner with private sector to utilize municipal facilities for community solar projects (such as to support SDG&E’s EcoShare program)
Mitigation,Promote “green” electricity credits and tariffs such as SDG&E’s EcoChoice
Mitigation,In consultation with community stakeholders (such as Realtors) offer additional Property Assessed Clean Energy (PACE) programs to help finance cool roof retrofits in community
Mitigation,Review related cost‐effectiveness studies for the City’s two climate zones and determine if cool roof requirements are cost effective
Mitigation,Leverage Community Development Block Grant funding for energy upgrades for low‐income households
Mitigation,Offer expedited permitting for projects in voluntary Green Building Plus program
Mitigation,Transition to over‐the‐counter permitting for residential solar systems
Mitigation,Work with SDG&E to evaluate feasibility of a permit‐ based energy efficiency incentive
Mitigation,Evaluate if the City can allow SDG&E QA/QC program to serve as final permit inspection
Mitigation,Seek funds to subsidize expedited Cal Green Tier 1 projects
Mitigation,Require free energy evaluations for businesses as part of licensing process
Mitigation,Offer additional Property Assessed Clean Energy (PACE) programs to help finance energy retrofits in community
Mitigation,Develop Residential and Commercial Energy Conservation ordinance for City Council consideration
Mitigation,Require increased energy standards on projects that receive financing from the City via Notice of Funding Availability (NOFA)
Mitigation,Develop a formal City Council policy to maximize shade tree use
Mitigation,Develop an Urban Forestry Management Plan to guide shade tree plantings and maintenance
Mitigation,Adopt a formal Complete Streets Policy to ensure all transportation users’ needs are met
Mitigation,Update Capital Improvement Plan (CIP) and Tentative Map standard work to include complete streets considerations
Mitigation,Combine the Bikeway/Pedestrian Master Plans into a single Active Transportation Master Plan
Mitigation,Transition Growth Management Oversight Commission (GMOC) Ordinance’s traffic threshold to more broadly account for “transportation”
Mitigation,Evaluate requirements to become a “Gold” level Bicycle Friendly Community and submit application
Mitigation,"Develop a specific plan for the Palomar Gateway area, including the Palomar Trolley Station"
Mitigation,Prepare a matrix to help determine and map targeted development locations
Mitigation,Review additional possible incentives for development in priority areas for City Council consideration
Mitigation,Work with SANDAG to complete new South Bay Bus Rapid Transit service
Mitigation,Implementation of Urban Core Specific Plan (UCSP) around E Street Trolley Station
Mitigation,"Pursue trolley grade separation along the I‐5 corridor at E Street, F Street & H Street"
Mitigation,Complete environmental document for trolley grade separation at Palomar Street/Industrial Blvd
Mitigation,Complete Transportation Demand Management study in coordination with SANDAG
Mitigation,"Update traffic signal synchronization along Olympic, East H, Telegraph Canyon and Otay Lakes roadways"
Mitigation,Complete traffic signal synchronization in connection with new Bus Rapid Transit (BRT) along East Palomar
Mitigation,Host workshops to promote bicycle use and safety
Mitigation,Review “last mile” transportation infrastructure (including technology‐based solutions) and propose needed programs or policies to City Council for consideration
Mitigation,"Based on outcome of 4.2.2B, facilitate bike‐sharing services into the City"
Mitigation,"Based on outcome of 4.2.2B, facilitate car‐sharing services into the City"
Mitigation,Continue to implement bike facilities in Bikeway Master Plan & pedestrian improvements in Pedestrian Master Plan
Mitigation,"Install a 12,000‐gallon biodiesel tank at Public Works Yard"
Mitigation,Install a publicly‐available CNG fueling station at Public Works Yard
Mitigation,Install publicly‐available electric vehicle (EV) chargers at 5 sites
Mitigation,Convert transit and solid waste hauler to alternative fuel vehicles
Mitigation,"Facilitate electric vehicle (EV) chargers, through programs such as SDG&E’s Power Your Drive, in areas of City not currently served"
Mitigation,Update City’s Alternative Fuel Station map to promote fuel availability
Mitigation,Convert street sweeper and tow trucks to alternative fuel vehicles
Mitigation,Establish preferred parking for Alternative Fuel Vehicles (AFV) at public parking lots
Mitigation,Develop new AFV parking requirements for new commercial sites for City Council consideration
Mitigation,Develop an EV-Ready ordinance for City Council consideration
Mitigation,Integrate EV-Ready requirement information into outreach programs
Mitigation,Complete Neighborhood Electric Vehicle network in Otay Ranch.
Mitigation,"This measure obligates IOUs, Publicly owned utilities (POUs), ESPs, and CCAs
to procure 60 percent of retail sales per year from eligible renewable sources by 2030 and 100
percent carbon-free source"
Mitigation,"Requires that building shells and components be designed to conserve
energy and water. Mandatory and voluntary measures became effective on January 1, 2020, and the
standards and guidelines are updated every 3 years, the next being in 2022. Local governments are
responsible for adoption and enforcement of the standards. Note that reductions due to a local
“reach” energy-efficiency ordinance and voluntary energy efficiency are accounted in local measures
separately from the accounting for this State regulation."
Mitigation,"AB 1470 created a 10-year incentive program funded at $25 million per year to encourage the installation of 200,000 solar water heating systems that offset natural gas use in homes and businesses throughout the State. AB 797 extended the operation of the program through July 31, 2020, reserving 50 percent of the total program budget for the installation of solar thermal systems in low-income residential housing or buildings in disadvantaged communities and expanding the program to homeowners that lack access to natural gas, among other things. The California Solar Initiative – Thermal Program began phasing out on July 31, 2020, and is no longer accepting incentive applications. Hence, a local strategy has been added to promote installation of solar hot water heaters. Local GHG reductions may be credited to the City as solar water heaters are installed around town."
Mitigation,"The CPUC administers a Qualifying Facilities and QF/CHP Program. Qualifying facilities are those that meet certain size and efficiency criteria. CHP, also known as cogeneration, produces both electricity and thermal energy onsite, replacing or supplementing electricity provided from a local utility and fuel burned in an onsite boiler or furnace. CHP systems increase energy security by producing energy at the point of use and significantly improve energy Emission Reduction Strategies City of Coronado Climate Action Plan Final 4-4 March 2022 efficiency. The program requires that California’s three largest IOUs (i.e., PG&E, SDG&E, and SCE) collectively procure 3,000 MW of capacity from CHP facilities by 2018."
Mitigation,SB 350 requires the State to double statewide energy efficiency savings in electricity and natural gas end uses by 2030.
Mitigation,"Landfill gas is a natural byproduct of decomposing organic material in landfills and composed of approximately 50 percent methane. Rather than being released into the atmosphere and further contributing to global warming, landfill gases can be captured, converted, and used as a renewable energy source. This process is commonly referred to as methane capture and achieved through a series of wells and blower/flare or vacuum systems that collect the gas where it can be processed and treated (EPA 2021b). The Landfill Methane Rule requires gas collection and control systems on landfills with more than 450,000 tons of waste-in-place. The rule requires a 40 percent reduction in landfill methane emission by 2030 from a 2013 baseline. The rule also requires the installation of methane capture technology and associated monitoring systems on all landfills without methane capture with a goal of increasing the facility level methane capture rate to the highest extent feasible (i.e., approaching 100 percent) The measure also establishes statewide performance standards to maximize methane capture efficiencies."
Mitigation,"AB 1493 (Pavley I) was adopted in 2002 and required CARB to adopt vehicle standards that started lowering GHG emissions from new light-duty autos, beginning with model year 2009. California has adopted additional strengthening of the Pavley standards (Pavley II or Advanced Clean Cars measure) for vehicle model years 2017–2025. Together, the two standards are expected to increase average fuel economy through 2025 and reduce GHG emissions from the California transportation sector."
Mitigation,"This measure accounts for the emission reductions from increasing the
number of EV charging stations and the resulting increase in the percentage of total VMT driven by
EVs.
Hybrid EVs, alternative fuel vehicles (AFVs), and
all-electric EVs produce lower emissions than
conventional vehicles. All EV types emit at least
40 percent fewer GHG emissions than
conventional vehicles (reductions depend on
electricity-generation profiles), and AFVs can
reduce emissions by more than 30 percent.
However, conventional gasoline and diesel
vehicles still comprise roughly 90 percent of
Coronado’s vehicles as of 2019, so programs and
infrastructure are needed to encourage the use of
EV or hybrid vehicle ownership are greatly
needed.
The primary infrastructure required to facilitate and promote the use of EVs in the City and the
region are EV charging stations. Coronado has already installed 14 EV charging stations throughout
the City, including at City Hall, the Public Services building, the Coronado Municipal Golf Course, and
the Coronado Cays.
To expand on these installations, the City could:
 Encourage new development to install a greater number of charging stations than what is
required by the Title 24 standards.
Emission Reduction Strategies
City of Coronado Climate Action Plan
Final 4-7 March 2022
 Install additional public charging stations.
Increasing the number of EV charging stations would increase the percentage of VMT by electric and
alternative fuel vehicles by raising the number of EVs and AFVs owned and operated in the City.
Increasing the percentage of VMT by EVs and AFVs would reduce transportation-related GHG
emissions and improve air quality for the City’s residents.
Prior to installing additional charging stations, the City may consider conducting a needs assessment
for EV infrastructure in the City to better serve EV transportation demand. This needs assessment
would determine the optimal number of charging stations and where they should be located to best
serve the City. SANDAG recently stated in its EV Needs Assessment that it is looking to add 140,000
charging stations in the San Diego region by 2030, where there are currently 6,700 chargers. The
City can also work with SANDAG to leverage the work they have already performed in determining
the number and location of charging stations to maximize the number of charging stations the City
can install at public locations."
Mitigation,"With this measure, the City would help establish an electric carshare
program. Carsharing offers people convenient access to a vehicle for personal or commuting
purposes. One-way carshare (i.e., free-floating) providers allow members to pick up the vehicle in
one place and end their trip in another location. Carsharing helps encourage transportation
alternatives by reducing vehicle ownership, thereby reducing VMT and associated GHG emissions."
Mitigation,"This measure would
involve implementation of a neighborhood
electric vehicle (NEV) Transportation Program.
NEVs are classified in the California Vehicle Code
as low speed vehicles. NEVs offer an alternative to
traditional vehicle trips and can be used legally
on roadways with speed limits of 35 miles per
hour or less. They are ideal for short trips
around town. The measure accounts for the net
emission reduction from (1) the avoided
emissions from conventional passenger vehicle
trips displaced by electric NEVs; and (2) the
added indirect emissions from electricity for NEV charging."
Mitigation,"This measure would include more-frequent transit service on MTS Route 904. Headway improvements increase transit ridership by reducing travel times, which improves the user experience and increases the attractiveness of transit service. The mode shift from passenger vehicles to transit that this measure causes would reduce vehicle trips and, therefore, VMT and associated GHG emissions."
Mitigation,"This measure would include free transit service throughout the year on MTS Route 904. Transit pricing strategies, including subsidies, are designed to reduce the costs associated with using transit, thereby creating incentives for people to shift from other, more emissive traveling modes, thereby reducing GHG emissions. In the future, the City may pursue a subsidized fare free shuttle service during peak ridership periods, such as during the weekend."
Mitigation,"This measure would include electrification of the buses on MTS Route 904. Electrification would replace the direct GHG emissions from fossil fuel combustion with less-emissive indirect emissions from electricity used to charge the busses, resulting in a net GHG reduction."
Mitigation,"This measure would include implementation of a microtransit EV shuttle service. Microtransit services utilize real-time ride-hailing, mobile tracking, and app-based payment to provide demand-based service to users. Microtransit services are flexible and can be designed to fulfill the mobility needs of a community. The intent is to promote mobility options by filling existing transportation gaps around town (e.g., first-mile/last-mile trips, service to and from the Cays). The program goal would not be replacing existing transportation mobility options, such as the Coronado Cab Company and public transit, but reducing the use of single-occupancy passenger vehicles and improving4-12 4-12 access to and promoting the use of microtransit shuttles, while also offering other mobility options for local residents, commuters, and visitors around town. Microtransit can help to facilitate connections to and from transit stops and provide users with an alternative to driving for short trips, thereby reducing VMT and associated GHG emissions. Microtransit services are typically subsidized by a range of funding sources and may be fare-free or cost a nominal fee. A needs assessment should be conducted to identify program goals and objectives, revenues, and costs and include implementation strategies that would enhance mobility in Coronado and prevent unintended consequences, such as disruptions to existing transportation services. A private company typically runs the service app, marketing, and advertising. The Free Ride San Diego (FRED) example in the City of San Diego is one of many. Other electric shuttle program options are available throughout the nation, and the technology continues to evolve. Such programs may be app-based, fixed-route, on-demand, or a hybrid model that follow a range of business models. App-based systems may also be created to support existing mobility options, while not necessarily subsidizing additional service. A goal of the program would be supplementing existing transportation options and not competing against such options."
Mitigation,"The City currently subsidizes ferry service for pedestrians and bicyclists between the Ferry Landing and the Broadway Pier or the Convention Center in San Diego. Monday through Friday, during the morning commute hours, the City provides complimentary service to commuters, including a free afternoon return trip. This reduction measure accounts for two different sources of reduced GHG emissions associated with this service: The 2019 expansion of the ferry service to add an additional sixth morning ferry into Coronado, increasing the number of ferry users, thus offsetting passenger on-road vehicle emissions; Future replacement of the current diesel ferry with full a battery-electric model to eliminate all direct emissions during operation"
Mitigation,"This measure accounts for the reduction in vehicle trips, and therefore VMT and GHG emissions, that would be achieved with expansion of the City’s bikeway network, as called for by the 2018 ATP. A bikeway network includes an interconnected system of bike lanes, bike paths, and cycle tracks (i.e., Class I, Class II, and Class IV facilities). Bike facilities may share the roadway with vehicles or provide a dedicated pathway that separates bikes from cars or pedestrians. Increasing the network of bike facilities help to encourage biking as a safe and convenient alternative to driving."
Mitigation,"This measure would include expansion of the City’s sidewalks and walkways. Construction of sidewalk would help to encourage walking and reduce vehicle trips, thereby reducing VMT and GHG emissions. The City’s 2018 ATP identified roadways that scored low on the Pedestrian Environment Quality Evaluation. These roadways are prime candidates for improved pedestrian infrastructure."
Mitigation,"This measure assumes that there would be an increase the number of zero-emission municipal vehicles. As vehicle fleet turns over, vehicles would be replaced with new ZEVs. Electric fleet vehicles replace gasoline- fueled vehicles, resulting in a direct GHG-emission reduction from fossil fuels."
Mitigation,"Establish goals for solar installations on new and existing residential and nonresidential (i.e., commercial and industrial) locations. These goals would be developed for the 2030 and 2045 timeframe.  2030 Residential Goal: 4-MW installed capacity, equivalent to the annual average electricity use of approximately 1.6 households"
Mitigation,"2045 Residential Goal: 5-MW installed capacity, equivalent to the annual electricity use of approximately 1.3 households"
Mitigation,2030 Nonresidential Goal: 5-MW installed capacity
Mitigation,2045 Nonresidential Goal: 6-MW installed capacity
Mitigation,"This measure would promote the installation of solar water heating systems in both new and existing households, going beyond the goals of the State solar water heaters measure (AB 1470 and AB 797), setting a goal for a proportion of households with an installed solar water heating system in 2030 and 2045. Potential goals with the proportion of households and the additional solar water heating systems needed to be installed beyond the State measure could include: 2030 Existing Housing Goal: 6.5 percent of existing housing with an installed solar water heating system (453 additional solar water heating systems) ;"
Mitigation,2045 Existing Housing Goal: 13 percent of new housing with an installed solar water heating system (18 additional solar water heating systems)
Mitigation,2030 New Housing Goal: 10.5 percent of existing housing with an installed solar water heating system (753 additional solar water heating systems)
Mitigation,2045 New Housing Goal: 18 percent of new housing with an installed solar water heating system (41 additional solar water heating systems)
Mitigation,"Adopt outdoor lighting standards for all outdoor public lighting to reduce electricity consumption. The measure includes public streetlights, pedestrian pathway lights, area lighting for parks and public parking lots, and outdoor lighting around public buildings. It also includes the installation of more-effective lamps that would use less electricity while producing the same or greater amount of light."
Mitigation,"The City could implement programs to increase the renewable energy portfolio for electricity supplies for the City beyond that mandated by the State per existing law (e.g., SB 100). An option could be joining an existing CCA program, also known as municipal aggregation, in which a collection of local governments establishes a joint powers authority to procure power on behalf of local accounts from an alternative supplier, while still receiving transmission and distribution service from their existing utility provider. AB 117 (2002) enables California cities and counties, either individually or collectively, to supply electricity to customers within their jurisdiction by establishing a CCA program. Smaller cities like Coronado typically collaborate with other cities to form a CCA, which usually operates on a nonprofit model. The City of San Diego joined with the Cities of Chula Vista, Encinitas, Imperial Beach, and La Mesa to form San Diego Community Power, a joint powers authority. The Cities of Carlsbad, Del Mar, and Solana Beach formed the Clean Energy Alliance CCA. With community choice energy programs continuing to gain prominence, regional utilities like SDG&E are looking to transition out of the electricity procurement business entirely and effectively become a poles and wires company. It remains to be seen what the mid- to long-term impacts would be if that were to take place. Quantification of this measure presumes that the City would achieve results better than those that would occur with SB100 by achieving 100 percent renewable energy citywide by 2035, potentially through a CCA that increases the renewable energy supply in the City. This strategy is considered optional and is not counted toward the City’s 2030 emissions-reduction target. Preliminary analysis indicates that if the City successfully implemented the CCA strategy, it would achieve approximately 78 percent renewable energy by 2030, and an additional 9,871 MTCO2e (in addition to the State’s RPS) could be reduced."
Mitigation,"This measure would help to transition from potable water use for application where recycled water would be sufficient. The City is proposing the construction and operation of a new recycled water supply at the Coronado Municipal Golf Course. The facility would have capacity to treat up to 1 million gallons per day. Recycled water the facility produces would be used to irrigate the golf course and other public landscape in the City (e.g., City parks, Orange Avenue medians), replacing its current use of potable water. Increased usage of recycled water would reduce the electricity consumed by water and wastewater treatment and conveyance, thereby reducing GHG emissions."
Mitigation,"This measure would include exceeding the waste diversion goal (75 percent) required by AB 341 by adopting citywide waste goals to divert all organic waste by 2045. The City would have responsibility to expand or establish composting, recycling, and yard waste programs to residences and businesses. The City would work with waste providers to ensure the goal of 100- percent reduction of organic waste would be achievable by 2045. This measure could include: Expand educational programs to inform residents about reuse, recycling, composting, waste-to- energy, and zero-waste programs. Encourage local recycling and composting initiatives at the neighborhood level."
Mitigation,Adopt a construction and demolition waste-recovery ordinance that meets or exceeds the CALGreen voluntary guidance of a 65–75 percent reduction in nonhazardous construction and demolition waste.
Mitigation,Encourage local businesses to expand their recycling and composting efforts and reduce packaging of products manufactured in the City.
Mitigation,"Establish a reuse/recycling center where furniture, appliances, building materials, and other useful, nonhazardous items may be dropped off or purchased for a nominal fee."
Mitigation,"Enhance regional coordination on waste management to take advantage of economies of scale of recycling, composting, and other diversion programs."
Mitigation,"Procure 60% of retail sales from eligible renewable sources by 2030
and 100% from carbon-free sources by 2045."
Mitigation,Design buildings to conserve and reduce energy and water use.
Mitigation,Install solar water heating systems in residential buildings.
Mitigation,Achieve the targets for SDG&E under the Qualifying Facilities and Combined Heat and Power Program.
Mitigation,Double energy efficiency savings by 2030.
Mitigation,"Reduce emissions of short-lived climate pollutants to achieve a reduction in methane by 40%, hydrofluorocarbon gases by 40%, and anthropogenic black carbon by 50% below 2013 levels by 2030."
Mitigation,"Achieve state-level fuel efficiency and fuel switching measures, including AB 1493 (Pavley I and II)."
Mitigation,"Increase public and private EV
chargers in Coronado, thereby
increasing the percentage of
total VMT from Evs."
Mitigation,"Implement a one-way EV
carshare program to reduce
VMT and GHG emissions
compared to gasolin"
Mitigation,"Increase the use of electric
NEVs to reduce gasoline-fueled
passenger vehicle GHG
emissions."
Mitigation,Increase ridership on MTS Route 904 with improved headways to reduce VMT and GHG emissions by gasoline- fueled passenger vehicles.
Mitigation,"Increase ridership on MTS Route 904 by more reduced transit fares (subsidies), thereby reducing VMT and GHG emissions by gasoline-fuel passenger vehicles."
Mitigation,Electrify MTS Route 904 to reduce GHG emissions from fossil-fueled bus trips.
Mitigation,Implement an electric microtransit/transit shuttle service to reduce VMT and GHG emissions associated with gasoline-fueled passenger vehicles.
Mitigation,Expand on 2019 ferry service and future subsidized service to increase ferry ridership and reduce VMT and GHG emissions associated with gasoline-fueled passenger vehicles. Future electrification would avoid ferry diesel emissions.
Mitigation,Increase bicycle paths/routes included in the ATP to reduce VMT and GHG emissions associated with gasoline-fueled passenger vehicles.
Mitigation,Increase pedestrian facilities included in the ATP to reduce VMT and GHG emissions associated with gasoline-fueled passenger vehicles.
Mitigation,Increase the number of municipal vehicles that are zero emissions as vehicle fleet is replaced over time.
Mitigation,Install 4 MW of residential and 5 MW of nonresidential solar by 2030 and 5 MW of residential and 6 MW of nonresidential solar by 2045 to avoid GHG emissions associated with grid electricity.
Mitigation,Achieve 6.5% of existing and 13% of new households with solar water heaters by 2030 and 10.5% of existing and 18% of new households with solar water heaters by 2045 to reduce electricity and natural gas use and associated GHG emissions.
Mitigation,Install more-efficient lights that would use less electricity while producing the same amount of light to reduce electricity use and associated GHG emissions
Mitigation,"Implement the water recycling plant to recycle water for irrigation uses, which would save 208 million gallons of potable water/year, thereby reducing electricity consumed by water and wastewater treatment and conveyance and the associated GHG emissions."
Mitigation,Divert at least 75% of waste generated in the City and 65% of construction materials and debris and progress toward 100% diversion of organic waste from landfills by 2045 to avoid methane emissions associated with landfilling of the City’s waste.
Mitigation,Implement bike-sharing programs.
Mitigation,"Implement direct ferry service to
NASNI"
Mitigation,Promote autonomous EVs / on- demand service / first-mile last mile service to bases.
Mitigation,Encourage MTS and the Navy to provide bus service to NASNI.
Mitigation,Encourage MTS to include the ferry in its transportation card program (Compass Card).
Mitigation,"Explore technology and innovation and consider demonstration projects, where practicable."
Mitigation,"Energy Efficiency Reach Code Ordinance for New Development: building electrification, low carbon concrete standard"
Mitigation,"Recognition program for new development that achieves certain levels of energy efficiency (e.g., LEED Diamond, Net Zero)"
Mitigation,"Encourage (or explore opportunities for) SDG&E, SANDAG, etc. to provide free energy audits for residential, commercial, and/or hospitality uses."
Mitigation,"Encourage and publicize (or explore opportunities for) SDG&E, SANDAG, etc. to provide free or rebated programs and otherwise support energy-efficiency retrofits for existing development, including low-energy lighting, heating/ cooling upgrades, tankless water heaters, etc."
Mitigation,"Conduct education and outreach activities with students, contractors, property owners, etc. about energy-saving programs, green building techniques, etc.Encourage and educate the public about cool roof design and implementation."
Mitigation,Prohibit portable gasoline-engine- powered leaf blowers; expand to require all landscaping
Mitigation,Incentivize sustainable landscapes and artificial turf hardscaping
Mitigation,Reduce residential indoor and outdoor water consumption single- family homes.
Mitigation,Expand recycling programs.
Mitigation,"Divert waste from landfills, conduct waste diversion, implement single-use plastics ordinance, implement composting."
Mitigation,Encourage edible food recovery program partnerships with food generators.
Mitigation,"Encourage implementation of green infrastructure, urban forest, community gardens/living walls, vertical gardens, and other green infrastructure; encourage planting trees that offer more carbon sequestering benefits; encourage the Port District and U.S. Navy to continue to support resource management, conservation, and growth of eelgrass in San Diego Bay."
